ICAO,NAME,ST,LAT,LON
KC75,LACON/MARSHALL CNTY,IL,41.02,-89.38
KCIR,CAIRO,IL,37,-89.17
KCMI,CHAMPAIGN,IL,40.03,-88.28
KCPS,EAST ST. LOUIS,IL,38.57,-90.15
KCUL,CARMI MUNI ARPT,IL,38.09,-88.12
KDEC,DECATUR,IL,39.83,-88.87
KDKB,DE KALB TAYLOR MUNI,IL,41.93,-88.71
KDNV,DANVILLE,IL,40.2,-87.6
KDPA,WEST CHICAGO,IL,41.92,-88.25
KENL,CENTRALIA MUNI AIRP,IL,38.51,-89.09
KFEP,ALBERTUS AIRPORT,IL,42.25,-89.58
KFOA,FLORA MUNI AIRPORT,IL,38.66,-88.45
KFWC,FAIRFIELD MUNI ARPT,IL,38.38,-88.41
KGBG,GALESBURG,IL,40.93,-90.43
KHSB,HARRISBURG-RALEIGH,IL,37.81,-88.55
KIGQ,LANSING MUNICIPAL,IL,41.54,-87.53
KIJX,JACKSONVILLE MUNI,IL,39.77,-90.24
KIKK,KANKAKEE,IL,41.07,-87.83
KJOT,JOLIET,IL,41.52,-88.18
KLOT,ROMEOVILLE  WFO,IL,41.6,-88.08
KLWV,LAWRENCEVILLE,IL,38.76,-87.59
KM30,METROPOLIS MUNI ARP,IL,37.19,-88.75
KMDH,CARBONDALE,IL,37.78,-89.25
KMDW,CHICAGO-MIDWAY,IL,41.78,-87.75
KMLI,MOLINE,IL,41.45,-90.52
KMQB,MACOMB MUNI AIRPORT,IL,40.52,-90.65
KMTO,MATTOON,IL,39.48,-88.28
KMVN,MT. VERNON,IL,38.32,-88.87
KMWA,MARION,IL,37.75,-89
KOLY,OLNEY-NOBLE AIRPORT,IL,38.72,-88.18
KORD,CHICAGO-OHARE,IL,41.98,-87.9
KPIA,PEORIA,IL,40.67,-89.68
KPNT,PONTIAC MUNI AIRPT,IL,40.92,-88.63
KPPQ,PITTSFIELD,IL,39.64,-90.78
KPRG,EDGAR CNTY ARPT,IL,39.7,-87.67
KPWK,CHICAGO/WHEELING,IL,42.1,-87.9
KRFD,ROCKFORD,IL,42.2,-89.1
KRPJ,ROCHELLE MUNI ARPT,IL,41.89,-89.08
KRSV,ROBINSON MUNI ARPT,IL,39.02,-87.65
KSAR,SPARTA,IL,38.15,-89.7
KSFY,SAVANNA TRI-TOWNSHI,IL,42.05,-90.11
KSLO,SALEM-LECKRONE ARPT,IL,38.65,-88.97
KSPI,SPRINGFIELD,IL,39.83,-89.67
KSQI,STERLING ROCK,IL,41.73,-89.68
KTAZ,TAYLORVILLE MUNI,IL,39.53,-89.33
KTIP,RANTOUL,IL,40.29,-88.14
KUGN,WAUKEGAN,IL,42.42,-87.87
KUIN,QUINCY,IL,39.93,-91.2
KVYS,PERU,IL,41.35,-89.15
KAID,ANDERSON,IN,40.12,-85.62
KASW,WARSAW MUNI ARPT,IN,41.27,-85.84
KBMG,BLOOMINGTON,IN,39.13,-86.62
KEVV,EVANSVILLE,IN,38.05,-87.53
KEYE,INDIANAPOLIS,IN,39.83,-86.3
KFWA,FORT WAYNE,IN,41,-85.2
KGEZ,SHELBYVILLE,IN,39.59,-85.8
KGSH,GOSHEN,IN,41.53,-85.79
KGUS,GRISSOM AFB,IN,40.65,-86.15
KGYY,GARY,IN,41.61,-87.42
KHNB,HUNTINGBURG,IN,38.25,-86.95
KHUF,TERRE HAUTE,IN,39.45,-87.3
KIND,INDIANAPOLIS,IN,39.73,-86.28
KLAF,LAFAYETTE,IN,40.42,-86.93
KMIE,MUNCIE,IN,40.23,-85.38
KOKK,KOKOMO MUNI AP,IN,40.53,-86.06
KSBN,SOUTH BEND,IN,41.7,-86.32
KVPZ,VALPARAISO,IN,41.45,-87
TKPK,GOLDEN ROCK/ST.KT,KN,17.3,-62.68
KAAO,WICHITA/JABARRA,KS,37.75,-97.22
KCFV,COFFEYVILLE,KS,37.09,-95.56
KCNK,CONCORDIA,KS,39.55,-97.65
KCNU,CHANUTE,KS,37.67,-95.48
KDDC,DODGE CITY,KS,37.77,-99.97
KEHA,ELKHART,KS,37,-101.88
KEMP,EMPORIA,KS,38.33,-96.2
KEWK,NEWTON,KS,38.05,-97.28
KFOE,FORBES AFB,KS,38.95,-95.67
KGBD,GREAT BEND,KS,38.35,-98.87
KGCK,GARDEN CITY,KS,37.93,-100.72
KGLD,GOODLAND,KS,39.37,-101.7
KHLC,HILL CITY,KS,39.38,-99.83
KHUT,HUTCHINSON,KS,38.07,-97.87
KHYS,HAYS,KS,38.85,-99.27
KIAB,MCCONNELL AFB,KS,37.62,-97.27
KICT,WICHITA,KS,37.65,-97.42
KIXD,OLATHE/INDUSTRIAL,KS,38.83,-94.9
KLBL,LIBERAL,KS,37.05,-100.97
KLWC,LAWRENCE,KS,39,-95.21
KMHK,MANHATTAN,KS,39.15,-96.67
KOJC,OLATHE,KS,38.85,-94.9
KP28,MEDICINE LAKE,KS,37.3,-98.58
KPPF,PARSONS,KS,37.33,-95.52
KPTT,PRATT MUNI ARPT,KS,37.7,-98.75
KRSL,RUSSELL,KS,38.87,-98.82
KSLN,SALINA,KS,38.8,-97.65
KTOP,TOPEKA,KS,39.07,-95.63
KWLD,WINFIELD,KS,37.1,-97
K1A6,MIDDLESBORO/BELL CO,KY,36.61,-83.74
KBWG,BOWLING GREEN,KY,36.97,-86.43
KCVG,COVINGTON,KY,39.05,-84.67
KEHR,HENDERSON CITY,KY,37.82,-87.68
KFFT,FRANKFORT,KY,38.18,-84.9
KFTK,FORT KNOX,KY,37.9,-85.97
KGLW,GLASGOW MUNI ARPT,KY,37.03,-85.95
KHOP,FT. CAMBELL AAF,KY,36.67,-87.5
KJKL,JACKSON,KY,37.6,-83.32
KLEX,LEXINGTON,KY,38.03,-84.6
KLOU,BOWMAN FIELD ARPT,KY,38.23,-85.67
KLOZ,LONDON,KY,37.08,-84.08
KOWB,OWENSBORO,KY,37.74,-87.17
KPAH,PADUCAH,KY,37.07,-88.77
KSDF,LOUISVILLE,KY,38.18,-85.73
KSME,SOMERSET,KY,37.05,-84.61
KACP,OAKDALE/PARISH AP,LA,30.75,-92.69
KAEX,ENGLAND AFB,LA,31.33,-92.55
KAQV,PEASON RIDGE/FT POL,LA,31.4,-93.3
KARA,NEW IBERIA/ACADIANA,LA,30.03,-91.88
KASD,SLIDELL,LA,30.34,-89.82
KBAD,BARKSDALE AFB,LA,32.5,-93.67
KBTR,BATON ROUGE,LA,30.53,-91.15
KBVE,BOOTHVILLE,LA,29.33,-89.41
KCWF,CHENAULT,LA,30.22,-93.15
KDNK,SELF STRIP/FT POLK,LA,31.11,-92.96
KDRI,DE RIDDER/BEAUREGAR,LA,30.83,-93.34
KDTN,SHREVEPORT DOWNTOWN,LA,32.53,-93.75
KESF,ALEXANDRIA,LA,31.38,-92.3
KHDC,HAMMOND MUNI ARPT,LA,30.52,-90.42
KHUM,HOUMA,LA,29.57,-90.67
KIER,NATCHITOCHES RGNL,LA,31.74,-93.1
KLCH,LAKE CHARLES,LA,30.12,-93.22
KLFT,LAFAYETTE,LA,30.2,-92
KMLU,MONROE,LA,32.51,-92.03
KMSY,NEW ORLEANS,LA,29.98,-90.25
KNBG,NEW ORLEANS NAS,LA,29.83,-90.02
KNEW,LAKEFRONT ARPT,LA,30.03,-90.03
KP92,SALT POINT,LA,29.28,-91.3
KPOE,FT.POLK AAF,LA,31.05,-93.18
KPTN,PATTERSON_MEMORIAL,LA,29.72,-91.33
KSHV,SHREVEPORT,LA,32.47,-93.82
KACK,NANTUCKET,MA,41.25,-70.07
KAQW,NORTH ADAMS,MA,42.7,-73.17
KBAF,WESTFIELD,MA,42.17,-72.72
KBED,BEDFORD,MA,42.47,-71.28
KBOS,BOSTON,MA,42.37,-71.03
KBVY,BEVERLY,MA,42.58,-70.92
KCEF,CHICOPEE FALLS,MA,42.2,-72.53
KCQX,CHATHAM,MA,41.68,-70
KEWB,NEW BEDFORD,MA,41.68,-70.97
KFIT,FITCHBURG,MA,42.55,-71.76
KFMH,OTIS AFB,MA,41.65,-70.52
KHYA,HYANNIS,MA,41.67,-70.28
KLWM,LAWRENCE,MA,42.72,-71.12
KMQE,MILTON,MA,42.22,-71.12
KMVY,MARTHAS VINEYARD,MA,41.4,-70.62
KORE,ORANGE,MA,42.57,-72.28
KORH,WORCESTER,MA,42.27,-71.87
KOWD,NORWOOD,MA,42.19,-71.17
KPSF,PITTSFIELD,MA,42.43,-73.3
KPVC,PROVINCETOWN,MA,42.07,-70.22
KPYM,PLYMOUTH,MA,41.92,-70.73
KTAN,TAUNTON,MA,41.88,-71.02
K2W6,ST MARYS CNTY RGNL,MD,38.32,-76.55
KADW,ANDREWS AFB,MD,38.82,-76.87
KAPG,ABERDEEN,MD,39.47,-76.16
KBWI,BALTIMORE,MD,39.18,-76.67
KCBE,GREATER CUMBERLAND,MD,39.62,-78.76
KCGS,COLLEGE PARK AIRPOR,MD,38.98,-76.92
KDMH,BALTIMORE,MD,39.28,-76.61
KDMW,CARROLL CNTY RGNL,MD,39.61,-77.01
KFDK,FREDERICK MUNI AIR,MD,39.42,-77.37
KFME,FORT MEADE,MD,39.09,-76.76
KHGR,HAGERSTOWN,MD,39.7,-77.72
KMTN,GLENN MARTIN ARPT,MD,39.33,-76.42
KNAK,US NAVAL ACADEMY,MD,38.99,-76.48
KNHK,PATUXENT RIV. NAS,MD,38.28,-76.4
KNUI,ST. INIGOES/WEBSTER,MD,38.14,-76.43
KOXB,OCEAN CITY,MD,38.31,-75.12
KSBY,SALISBURY,MD,38.33,-75.5
KAUG,AUGUSTA,ME,44.32,-69.8
KBGR,BANGOR,ME,44.8,-68.82
KBHB,BAR HARBOR,ME,44.45,-68.37
KCAR,CARIBOU,ME,46.87,-68.02
KFVE,FRENCHVILLE,ME,47.28,-68.32
KGNR,GREENVILLE,ME,45.46,-69.6
KHUL,HOULTON,ME,46.13,-67.78
KIWI,WISCASSET,ME,43.97,-69.72
KIZG,FRYEBURG,ME,43.98,-70.95
KLEW,AUBURN/LWSTN,ME,44.05,-70.28
KMLT,MILLINOCKET,ME,45.65,-68.68
KNHZ,BRUNSWICK NAS,ME,43.88,-69.93
KPQI,PRESQUE ISLE,ME,46.7,-68.05
KPWM,PORTLAND,ME,43.65,-70.32
KRKD,ROCKLAND,ME,44.07,-69.12
KSFM,SANFORD_MUNI,ME,43.4,-70.72
KWVL,WATERVILLE,ME,44.53,-69.67
KACB,ANTRIM,MI,44.99,-85.2
KADG,ADRIAN,MI,41.87,-84.08
KAMN,ALMA,MI,43.32,-84.69
KANJ,SAULT STE MARIE,MI,46.48,-84.36
KAPN,ALPENA,MI,45.07,-83.57
KARB,ANN ARBOR,MI,42.22,-83.75
KAZO,KALAMAZOO,MI,42.23,-85.55
KBAX,BAD AXE,MI,43.78,-82.99
KBEH,BENTON HARBOR,MI,42.13,-86.43
KBIV,HOLLAND/TULIP CITY,MI,42.83,-86.17
KBTL,BATTLE CREEK,MI,42.3,-85.23
KCAD,CADILLAC/WEXFORD,MI,44.28,-85.42
KCFS,CARO/TUSCOLA AREA A,MI,43.46,-83.45
KCIU,CHIPPEWA INTL ARPT,MI,46.25,-84.47
KCMX,HANCOCK,MI,47.17,-88.5
KCVX,CHARLEVOIX,MI,45.3,-85.27
KDET,DETROIT CITY ARPT,MI,42.42,-83.02
KDTW,DETROIT,MI,42.23,-83.33
KDUH,TOLEDO SUBURBAN AIR,MI,41.74,-83.66
KERY,NEWBERRY,MI,46.31,-85.46
KESC,ESCANABA,MI,45.75,-87.05
KFKS,FRANKFORT DOW MEM F,MI,44.63,-86.2
KFNT,FLINT,MI,42.97,-83.73
KFPK,FITCH BEACH AIRPORT,MI,42.57,-84.81
KGLR,OTSEGO CO. ARPT,MI,45.01,-84.7
KGOV,GRAYLING AAF AIRPOR,MI,44.68,-84.73
KGRR,GRAND RAPIDS,MI,42.88,-85.52
KHTL,HOUGHTON LAKE,MI,44.37,-84.68
KHYX,SAGINAW/BROWNE,MI,43.43,-83.86
KIMT,IRON MOUNTAIN,MI,45.82,-88.12
KIRS,STURGIS,MI,41.81,-85.44
KISQ,MANISTIQUE,MI,45.97,-86.17
KIWD,IRONWOOD,MI,46.53,-90.13
KJXN,JACKSON,MI,42.27,-84.47
KJYM,HILLSDALE,MI,41.92,-84.59
KLAN,LANSING,MI,42.78,-84.6
KLDM,LUDINGTON/MASON AIR,MI,43.97,-86.4
KLWA,SOUTH HAVEN AREA RG,MI,42.35,-86.26
KMBL,MANISTEE,MI,44.27,-86.25
KMBS,SAGINAW,MI,43.53,-84.08
KMCD,MACKINAC ISLAND,MI,45.87,-84.63
KMGN,HARBOR SPRINGS ARPT,MI,45.43,-84.91
KMKG,MUSKEGON,MI,43.17,-86.23
KMNM,MENOMINEE,MI,45.12,-87.63
KMOP,MOUNT PLEASANT MUNI,MI,43.62,-84.74
KMTC,MT.CLEMENS,MI,42.6,-82.83
KOEB,COLDWATER,MI,41.95,-85
KONZ,DETROIT/GROSSE ILE,MI,42.1,-83.16
KOSC,WURTSMITH AFB,MI,44.45,-83.4
KOZW,HOWELL,MI,42.63,-83.98
KP53,MUNISING,MI,46.41,-86.65
KP58,PORT HOPE,MI,44.02,-82.79
KP59,COPPER HARBOR,MI,47.47,-87.87
KPHN,PORT HURON,MI,42.91,-82.53
KPLN,PELLSTON,MI,45.57,-84.8
KPTK,PONTIAC,MI,42.67,-83.42
KPZQ,ROGERS CITY/PRESQUE,MI,45.41,-83.81
KRMY,MARSHALL,MI,42.25,-84.96
KRNP,OWOSSO COMMUNITY AR,MI,42.99,-84.14
KRQB,BIG RAPIDS,MI,43.72,-85.5
KSAW,GWINN,MI,46.35,-87.4
KSJX,BEAVER ISLAND ARPT,MI,45.69,-85.57
KSLH,CHEBOYGAN CNTY ARPT,MI,45.65,-84.52
KTEW,MASON,MI,42.57,-84.42
KTTF,MONROE,MI,41.94,-83.44
KTVC,TRAVERSE CITY,MI,44.74,-85.57
KVLL,OAKLAND/TROY ARPT,MI,42.54,-83.18
KYIP,WILLOW RUN ARPT,MI,42.23,-83.53
KACQ,WASECA MUNI AP,MN,44.07,-93.55
KADC,WADENA,MN,46.45,-95.21
KAEL,ALBERT LEA,MN,43.68,-93.37
KAIT,AITKIN_NDB,MN,46.55,-93.68
KANE,ANOKA COUNTY ARPT,MN,45.15,-93.22
KAQP,APPLETON,MN,45.23,-96
KAUM,AUSTIN_MUNI,MN,43.67,-92.93
KAXN,ALEXANDRIA,MN,45.87,-95.38
KBBB,BENSON_MUNI,MN,45.32,-95.65
KBDE,BAUDETTE,MN,48.72,-94.6
KBFW,SILVER_BAY,MN,47.2,-91.4
KBJI,BEMIDJI,MN,47.5,-94.93
KBRD,BRAINERD,MN,46.4,-94.13
KCBG,CAMBRIDGE_MUNI,MN,45.57,-93.27
KCDD,CRANE LAKE,MN,46.27,-92.57
KCFE,BUFFALO MUNI ARPT,MN,45.16,-93.84
KCKC,GRAND MARAIS,MN,47.84,-90.36
KCKN,CROOKSTON_MUNI FLD,MN,47.85,-96.62
KCOQ,CLOQUET,MN,46.7,-92.5
KCQM,COOK,MN,47.83,-92.68
KDLH,DULUTH,MN,46.83,-92.18
KDTL,DETROIT LAKES,MN,46.83,-95.88
KDXX,MADISON,MN,44.99,-96.18
KDYT,DULUTH,MN,46.72,-92.04
KELO,ELY,MN,47.82,-91.83
KETH,WHEATON_NDB,MN,45.7,-96.5
KEVM,EVELETH_MUNI,MN,47.4,-92.5
KFBL,FARIBAULT_MUNI,MN,44.33,-93.32
KFCM,MINNEAPOLIS,MN,44.83,-93.45
KFFM,FERGUS FALLS,MN,46.28,-96.15
KFGN,FLAG ISLAND,MN,49.32,-94.88
KFKA,PRESTON/FILLMORE CO,MN,43.68,-92.18
KFOZ,BIGFORK,MN,47.78,-93.65
KFRM,FAIRMONT,MN,43.65,-94.42
KFSE,FOSSTON,MN,45.5,-95.7
KGDB,GRANITE FALLS MUNI,MN,44.75,-95.56
KGHW,GLENWOOD,MN,45.65,-95.32
KGNA,GRAND MARAIS,MN,47.75,-90.35
KGPZ,GRAND RAPIDS,MN,47.22,-93.52
KGYL,GLENCOE,MN,44.76,-94.08
KHCD,HUTCHINSON,MN,44.87,-94.38
KHCO,HALLOCK,MN,48.78,-96.95
KHIB,HIBBING,MN,47.38,-92.85
KHZX,ISEDOR IVERSON ARPT,MN,46.62,-93.31
KINL,INTERNATIONAL FALLS,MN,48.57,-93.38
KJKJ,MOORHEAD,MN,46.84,-96.66
KJMR,MORA_MUNI,MN,45.88,-93.27
KJYG,ST. JAMES,MN,43.98,-94.55
KLJF,LITCHFIELD_MUNI,MN,45.1,-94.5
KLVN,AIRLAKE,MN,44.63,-93.23
KLXL,LITTLE_FALLS,MN,45.95,-94.35
KLYV,LUVERNE/AANENSON FL,MN,43.62,-96.22
KMGG,MAPLE LAKE,MN,45.24,-93.99
KMIC,MINNEAPOLIS CRYS.,MN,45.06,-93.35
KMJQ,JACKSON_MUNI,MN,43.65,-94.98
KMKT,MANKATO,MN,44.22,-93.92
KMML,MARSHALL,MN,44.45,-95.82
KMOX,MORRIS_MUNI,MN,45.57,-95.97
KMSP,MINNEAPOLIS,MN,44.88,-93.22
KMVE,MONTEVIDEO,MN,44.97,-95.72
KMWM,WINDOM,MN,43.92,-95.09
KMZH,MOOSE LAKE,MN,46.42,-92.8
KONA,WINONA_MUNI,MN,44.08,-91.7
KORB,ORR,MN,48.02,-92.87
KOTG,WORTHINGTON,MN,43.65,-95.58
KOVL,OLIVIA RGNL AIRPORT,MN,44.78,-95.03
KOWA,OWATONNA,MN,44.12,-93.25
KPKD,PARK RAPIDS,MN,46.9,-95.07
KPNM,PRINCETON,MN,45.55,-93.6
KPQN,PIPESTONE,MN,43.98,-96.32
KPWC,PINE RIVER,MN,46.72,-94.38
KRGK,RED WING,MN,44.58,-92.48
KROS,RUSH CITY,MN,45.7,-92.95
KROX,ROSEAU,MN,48.85,-95.7
KRRT,WARROAD,MN,48.95,-95.33
KRST,ROCHESTER,MN,43.92,-92.5
KRWF,REDWOOD FALLS,MN,44.55,-95.08
KSAZ,STAPLES,MN,46.39,-94.8
KSGS,S. ST. PAUL_MUNI,MN,44.85,-93.15
KSTC,ST. CLOUD,MN,45.55,-94.07
KSTP,ST. PAUL,MN,44.93,-93.07
KSYN,STANTON AIRFIELD,MN,44.48,-93.02
KTKC,TRACY MUNI ARPT,MN,44.25,-95.61
KTOB,DODGE CENTER,MN,44.02,-92.83
KTVF,THIEF RIVER FALLS,MN,48.07,-96.18
KTWM,TWO HARBORS,MN,47.05,-91.75
KULM,NEW ULM_MUNI,MN,44.32,-94.5
KVVV,ORTONVILLE,MN,45.31,-96.43
KVWU,WASKISH,MN,48.15,-94.52
KXVG,LONGVILLE,MN,46.99,-94.2
KAIZ,KAISER_MEM,MO,38.1,-92.55
KCDJ,CHILLICOTHE,MO,39.82,-93.58
KCGI,CAPE GIRARDEAU,MO,37.23,-89.58
KCOU,COLUMBIA,MO,38.82,-92.22
KDMO,SEDALIA,MO,38.7,-93.1
KFAM,FARMINGTON ARPT,MO,37.77,-90.43
KIRK,KIRKSVILLE,MO,40.1,-92.54
KJEF,JEFFERSON CITY,MO,38.6,-92.17
KJLN,JOPLIN,MO,37.17,-94.5
KLXT,LEES SUMMIT MUNI AP,MO,38.96,-94.37
KMCI,KANSAS CITY,MO,39.32,-94.72
KMKC,KANSAS CITY DWNTN,MO,39.12,-94.6
KPOF,POPLAR BLUFF,MO,36.77,-90.32
KSET,ST. CHARLES,MO,38.93,-90.43
KSGF,SPRINGFIELD,MO,37.23,-93.38
KSTJ,ST. JOSEPH,MO,39.77,-94.92
KSTL,ST. LOUIS,MO,38.75,-90.38
KSUS,SPIRIT OF ST. LOUIS,MO,38.65,-90.63
KSZL,WHITEMAN AFB,MO,38.72,-93.55
KTBN,FT LEONARD WOOD,MO,37.75,-92.15
KUNO,WEST PLAINS ARPT,MO,36.88,-91.91
KVIH,VICHY-ROLLA,MO,38.13,-91.77
KBIX,BILOXI,MS,30.42,-88.92
KCBM,COLUMBUS AFB,MS,33.65,-88.45
KGLH,GREENVILLE,MS,33.48,-90.98
KGPT,GULFPORT,MS,30.4,-89.07
KGTR,COLUMBUS,MS,33.45,-88.58
KGWO,GREENWOOD,MS,33.5,-90.08
KHBG,HATTIESBURG,MS,31.27,-89.26
KHEZ,NATCHEZ,MS,31.62,-91.25
KHKS,JACKSON,MS,32.34,-90.23
KJAN,JACKSON,MS,32.32,-90.08
KMCB,MCCOMB,MS,31.18,-90.47
KMEI,MERIDIAN,MS,32.33,-88.75
KNMM,MERIDIAN NAS,MS,32.55,-88.57
KOLV,OLIVE BRANCH AIRPRT,MS,34.98,-89.79
KPIB,LAUREL-HATIESBURG,MS,31.47,-89.33
KPQL,PASCAGOULA,MS,30.47,-88.53
KTUP,TUPELO,MS,34.27,-88.77
KTVR,VICKSBURG,MS,32.35,-91.03
KUTA,TUNICA MUNI ARPT,MS,34.68,-90.35
KBHK,BAKER,MT,46.35,-104.26
KBIL,BILLINGS,MT,45.8,-108.53
KBTM,BUTTE,MT,45.95,-112.5
KBZN,BOZEMAN,MT,45.78,-111.15
KCTB,CUTBANK,MT,48.6,-112.37
KDLN,DILLON,MT,45.25,-112.55
KGDV,GLENDIVE,MT,47.13,-104.8
KGGW,GLASGOW,MT,48.22,-106.62
KGPI,KALISPELL,MT,48.3,-114.27
KGTF,GREAT FALLS,MT,47.48,-111.37
KHLN,HELENA,MT,46.6,-112
KHVR,HAVRE,MT,48.55,-109.77
KJDN,JORDAN,MT,47.33,-106.83
KLVM,LIVINGSTON,MT,45.7,-110.43
KLWT,LEWISTOWN,MT,47.05,-109.45
KMLS,MILES CITY,MT,46.42,-105.9
KMSO,MISSOULA,MT,46.92,-114.08
KOLF,WOLF POINT,MT,48.1,-105.58
KSDY,SIDNEY,MT,47.72,-104.18
K1A5,MACON CNTY ARPT,NC,35.22,-83.42
KAKH,GASTONIA,NC,35.2,-81.15
KASJ,AHOSKIE TRI-COUNTY,NC,36.3,-77.17
KAVL,ASHEVILLE,NC,35.43,-82.55
KBUY,BURLINGTON,NC,36.03,-79.47
KCLT,CHARLOTTE,NC,35.21,-80.95
KCPC,WHITEVILLE/COLUMBUS,NC,34.27,-78.72
KCTZ,SAMPSON CNTY AIRP,NC,34.98,-78.36
KDPL,DUPLIN,NC,35,-77.98
KECG,ELIZABETH CITY,NC,36.27,-76.18
KEDE,EDENTON,NC,36.03,-76.57
KEHO,SHELBY MUNI ARPT,NC,35.25,-81.6
KEQY,MONROE,NC,35.01,-80.62
KEWN,NEW BERN,NC,35.08,-77.05
KEXX,LEXINGTON,NC,35.78,-80.3
KEYF,ELIZABETHTOWN/BROWN,NC,34.6,-78.58
KFAY,FAYETTEVILLE,NC,35,-78.88
KFBG,FORT BRAGG,NC,35.13,-78.93
KFFA,KILL DEVIL HILLS/FI,NC,36.02,-75.67
KFQD,RUTHERFORDTON,NC,35.43,-81.94
KGEV,JEFFERSON/ASHE CO,NC,36.43,-81.42
KGSB,SEY.JOHNSON AFB,NC,35.33,-77.97
KGSO,GREENSBORO,NC,36.08,-79.95
KGWW,GOLDSBORO-WAYNE,NC,35.46,-77.96
KHBI,ASHEBORO,NC,35.66,-79.9
KHFF,HOFFMAN,NC,35.03,-79.5
KHKY,HICKORY,NC,35.75,-81.38
KHNZ,HENDERSON-OXFORD AP,NC,36.36,-78.53
KHRJ,ERWIN-HARNETT CO.,NC,35.38,-78.74
KHSE,HATTERAS,NC,35.23,-75.62
KIGX,CHAPEL HILL,NC,35.94,-79.07
KILM,WILMINGTON,NC,34.27,-77.92
KINT,WINSTON-SALEM,NC,36.13,-80.23
KIPJ,LINCOLNTON,NC,35.48,-81.16
KISO,KINSTON,NC,35.32,-77.63
KJNX,SMITHFIELD,NC,35.54,-78.38
KJQF,CONCORD RGNL AP,NC,35.39,-80.71
KLBT,LUMBERTON,NC,34.6,-79.07
KLHZ,LOUISBURG/FRANKLIN,NC,36.02,-78.33
KMEB,MAXTON,NC,34.79,-79.37
KMQI,MANTEO/DARE,NC,35.92,-75.7
KMRH,BEAUFORT/SMITH FLD,NC,34.73,-76.66
KMRN,MORGANTON,NC,35.82,-81.61
KMWK,MT AIRY-SCURRY CO.,NC,36.46,-80.55
KNCA,JACKSONVILLE MCAS,NC,34.7,-77.43
KNKT,CHERRY PT. MCAS,NC,34.85,-76.88
KOAJ,JACKSONVILLE,NC,34.82,-77.62
KOCW,WASH.-WARREN FLD.,NC,35.57,-77.05
KONX,CURRITUCK COUNTY AI,NC,36.4,-76.02
KPGV,PITT-GREENVILLE,NC,35.63,-77.4
KPOB,POPE AFB,NC,35.17,-79.02
KRDU,RALEIGH-DURHAM,NC,35.87,-78.78
KRHP,ANDREWS,NC,35.19,-83.86
KRUQ,SALISBURY,NC,35.65,-80.56
KRWI,ROCKY MOUNT,NC,35.85,-77.88
KRZZ,ROANOKE RAPIDS,NC,36.44,-77.71
KSOP,SOUTHERN_PINES,NC,35.23,-79.4
KSUT,BRUNSWICK CNTY ARPT,NC,33.93,-78.07
KSVH,STATESVILLE,NC,35.76,-80.96
KTDF,ROXBORO,NC,36.28,-78.98
KTNB,BOONE,NC,36.2,-81.65
KTTA,SANFORD-LEE CNTY,NC,35.58,-79.1
KUKF,WILKES COUNTY AIRP,NC,36.22,-81.08
KVUJ,ALBEMARLE,NC,35.42,-80.15
KBIS,BISMARCK,ND,46.77,-100.75
KBWP,WAHPETON/HARRY STER,ND,46.24,-96.61
KDIK,DICKINSON,ND,46.78,-102.8
KDVL,DEVIL'S LAKE,ND,48.12,-98.9
KFAR,FARGO,ND,46.9,-96.8
KGFK,GRAND FORKS,ND,47.95,-97.18
KHEI,HETTINGER,ND,46.01,-102.65
KISN,WILLISTON,ND,48.18,-103.63
KJMS,JAMESTOWN,ND,46.92,-98.68
KMIB,MINOT AFB,ND,48.42,-101.35
KMOT,MINOT,ND,48.27,-101.28
KN60,GARRISON,ND,47.65,-101.38
KRDR,GRAND FORKS AFB,ND,47.95,-97.4
KAFK,NEBRASKA CITY MUNI,NE,40.61,-95.87
KAIA,ALLIANCE,NE,42.05,-102.8
KANW,AINSWORTH,NE,42.58,-99.98
KAUH,AURORA,NE,40.9,-97.98
KBBW,BROKEN BOW,NE,41.43,-99.64
KBFF,SCOTTSBLUFF,NE,41.87,-103.6
KBIE,BEATRICE,NE,40.32,-96.75
KBVN,ALBION MUNI ARPT,NE,41.73,-98.06
KCDR,CHADRON,NE,42.83,-103.08
KEAR,KEARNEY,NE,40.73,-99
KFET,FREMONT_MUNI ARPT,NE,41.45,-96.52
KFNB,FALLS CITY,NE,40.07,-95.58
KGRI,GRAND ISLAND,NE,40.97,-98.32
KHDE,BREWSTER FIELD,NE,40.45,-99.33
KHJH,HEBRON MUNI ARPT,NE,40.15,-97.59
KHSI,HASTINGS,NE,40.6,-98.43
KIBM,KIMBALL MUNI AP,NE,41.19,-103.68
KIML,IMPERIAL,NE,40.52,-101.62
KJYR,YORK MUNICIPAL ARPT,NE,40.9,-97.62
KLBF,NORTH PLATTE,NE,41.13,-100.68
KLCG,WAYNE MUNI AP,NE,42.24,-96.98
KLNK,LINCOLN,NE,40.85,-96.75
KLXN,LEXINGTON,NE,40.8,-99.76
KMCK,MCCOOK,NE,40.22,-100.58
KMLE,OMAHA/MILLARD AP,NE,41.2,-96.11
KODX,ORD,NE,41.62,-98.95
KOFF,OFFUTT AFB,NE,41.12,-95.9
KOFK,NORFOLK,NE,41.98,-97.43
KOGA,OGALALLA,NE,41.12,-101.76
KOLU,COLUMBUS,NE,41.45,-97.35
KOMA,OMAHA,NE,41.3,-95.9
KONL,O'NEILL,NE,42.47,-98.68
KSNY,SIDNEY,NE,41.1,-102.98
